Drink	Fl oz	Calories	Caffeine	Mg / floz
Mello Yello	12	170	51	4.2
Meltdown Ketone Drink	12	18	225	18.8
MiO Energy Water Enhancer	8	0	60	7.5
Monster Assault	16	210	160	10
Monster Dragon Tea	23	100	60	2.6
Monster Energy	16	210	160	10
Monster Hydro	25.4	150	188	7.4
Monster Import	18.6	190	179	9.6
Monster Lo-Carb	16	30	140	8.8
Monster Mango Loco	16	240	152	9.5
Monster Mule	16	210	160	10
Monster Nitro	16	220	160	10
Monster Pipeline Punch	16	190	160	10
Monster Rehab	15.5	25	160	10.3
Monster Reserve	16	120	160	10
Monster Ripper Energy Juice (UK)	16.91	185	160	9.5
Monster The Doctor VR46 (UK)	16.91	219	160	9.5
Monster Tour Water	16	0	0	0
Monster Ultra	16	10	150	9.4
Monster Zero Sugar	16	10	160	10
Moose Juice Energy Drink	16.94	0	200	11.8
Morning Thunder Tea	8	0	45	5.6
Mother Energy Drink	16.91	228	160	9.5
Mountain Dew	12	170	54	4.5
Mountain Dew Amp	16	220	142	8.9
Mountain Dew Baja Blast	12	170	54	4.5
Mountain Dew Code Red	12	170	54	4.5
Mountain Dew Energy	16	25	180	11.2
Mountain Dew Game Fuel	16	90	90	5.6
Mountain Dew Kickstart	16	80	90	5.6
Mountain Dew Live Wire	12	180	54	4.5
Mountain Dew Major Melon	12	160	55	4.6
Mountain Dew Spark	12	170	46	3.8
Mountain Dew Voltage	12	170	55	4.6
Mountain Dew Zero Sugar	12	0	68	5.7
Moxie Soda	12	140	24	2
Mucho Mango Energy Drink	8	100	0	0
Mug Root Beer	12	160	0	0
Muscle Milk Coffee House	11	130	120	10.9
Muscle Monster	15	180	157	10.5
Mushroom Coffee	8	10	50	6.2
Nerd Focus	12	170	128	10.7
Nescafe 3 in 1 Instant Coffee	6	74	50	8.3
Nescafe Dolce Gusto	8	0	106	13.2
Nescafe Gold	8.46	0	66	7.8
Nescafe Ice Java	8	50	100	12.5
Nescafe Ricoffy	8	10	6	0.8
Nespresso Coffee Capsules	1.35	0	60	44.4
Nestea Iced Tea	16.9	160	23	1.4
Nestle Milo	8	80	4	0.4
Neu Nootropic Shot	2	0	350	175
Neuro Sonic	14.5	35	100	6.9
NOCCO Energy Drink (EU)	11.17	0	180	16.1
Noocaf Smart Coffee	8	0	160	20
NOS Energy Drink	16	200	160	10
Nutramint Smart Serum	2	45	200	100
Nuun Sport	16	15	40	2.5
OCA Energy Drink	12	60	120	10
Ocean Spray Brew	8	30	40	5
Octane Energy Drink Mix	12	25	225	18.8
Oi Ocha Green Tea	16.9	5	60	3.6
Oikos Pro Fuel	10	130	100	10
OK Energy Drink	8.45	113	80	9.5
Oli Pop Vintage Cola	12	35	50	4.2
Orange Crush	12	160	0	0
Oregon Chai Tea	6	130	45	7.5
Pacific Chai	6	90	29	4.8
Panera Bread Coffee	16	15	189	11.8
Panera Charged Lemonade	30	280	390	13
PC Cola	12	150	12	1
PC Cola Diet	12	0	13	1.1
Peace Tea	23	150	23	1
Peet's Brewed Coffee	16	5	267	16.7
Peet's Caffe Americano	16	10	140	8.8
Peet's Caffe Latte	16	190	140	8.8
Peet's Caffe Mocha	16	390	165	10.3
Peet's Cappuccino	16	140	140	8.8
Peet's Coffee Espresso	1.5	0	70	46.7
Peet's Decaf Espresso	1.5	0	10	6.7
Peet's Iced Coffee	16	0	150	9.4
Peet's Iced Latte	16	120	140	8.8
Peet's Iced Mocha	16	310	165	10.3
Pep Talk Sparkling Water	12	0	55	4.6
Pepsi	12	150	38	3.2
Pepsi Caffeine Free	12	150	0	0
Pepsi Made With Sugar	12	150	38	3.2
Pepsi Max (UK)	11.16	0	43	3.8
Pepsi Zero Sugar	12	0	38	3.2
Performance Caffeine	2	0	180	90
